author,work,metronome,meter
Madhuchandas Vaiśvāmitra,b01_h001_01,Sw.SS.wSwS.|SSw.Sw.SwS.|SSS.SwSwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h001_02,SS.SSw.www.|SwS.SwS.ww.|w.SS.Sw.Sww|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h001_03,SwS.ww.SwS.|Sw.Sw.wSwS.|wwS.SwSwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h001_04,SS.S.Sw.SwS.|SwS.wwS.ww.|w.S.SSw.Sww|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h001_05,SS.SS.wSwS.|SS.SSwSwS.|SS.SSw.S.wS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h001_06,w.Sw.SwS.ww.|SS.SS.wSww.|wS.S.Sw.SwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h001_07,wS.SS.wSwS.|SSSS.wS.wS.|wS.wSw.Sww|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h001_08,SSw.SwSwS.|SS.wSw.SwS.|SwSS.wS.wS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h001_09,w.S.wSw.SwS.|SS.SSwS.ww.|wSS.S.wSwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h002_01,Sw.S.Sw.Sww.|wS.SS.wSwS.|SS.SS.wS.wS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h002_02,Sw.SSS.wSS.|wS.SS.wwSS.|wwSS.wSwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h002_03,SS.wS.wSwS.|SS.wSw.SwS.|wSS.SwSwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h002_04,SwSS.wS.wS.|wS.wSw.S.ww.|SwS.S.wSw.w|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h002_05,Sw.SS.w.SwS.|wSS.SwSwS.|S.S.Sw.wS.wS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h002_06,Sw.SS.w.Sww.|S.Sw.ww.SwS.|Sw.SS.wS.wS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h002_07,SS.wS.SwSS.|wwS.w.wSwS.|wS.wSS.SSS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h002_08,wSw.SSwwS.|wSwS.wSwS.|wS.wSw.SwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h002_09,wS.S.SSwwS.|wwSS.wSwS.|SS.wSS.wwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h003_01,SwS.SwS.wS.|wSSS.wS.wS.|wwwS.wSwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h003_02,SwS.wwSwS.|wS.wSwS.wS.|SwS.wwS.wS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h003_03,SS.wSwS.wS.|SSS.SwSww.|S.SS.SwSwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h003_04,SS.Sw.SwSS.|wS.wS.wSww.|SSS.wS.SSS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h003_05,SS.Sw.wSwS.|SwSS.wSww.|wS.SSw.SwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h003_06,SS.Sw.SwSw.|wS.SSw.wwS.|wS.wSw.S.wS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h003_07,SSS.SwSwS.|SS.SSw.S.ww.|SSS.SwS.wS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h003_08,SS.SSS.SwS.|ww.S.Sw.Sww.|SS.wS.wwSw|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h003_09,SS.SSS.Sww.|SwSSS.SwS.|SS.wSw.SwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h003_10,wSS.S.wSwS.|SSS.SwSwS.|SS.Sw.wSwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h003_11,SwSS.SwSS.|SSS.wwSwS.|SS.wS.wSwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h003_12,wS.SS.wSwS.|w.Swww.SwS.|wS.SS.w.Sww|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h004_01,wSwSw.SwS.|wwS.ww.SwS.|wSwS.wSww|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h004_02,ww.S.wwS.ww.|SSw.SwS.ww.|SS.S.SwS.wS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h004_03,wS.S.SwSwS.|SSw.wwSwS.|S.S.wS.w.S.ww|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h004_04,wSw.Sw.Sww.|SS.SS.wSwS.|S.S.wSw.S.wS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h004_05,wS.wSw.S.wS.|w.SwS.w.Sww.|wSS.Sw.S.wS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h004_06,ww.S.wwS.wS.|SSS.Sw.SwS.|SS.SSw.Sww|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h004_07,S.Sw.SwS.ww.|SSwS.wSwS.|wwS.SwSwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h004_08,Sw.SS.wSwS.|wS.SSS.wwS.|SS.SSw.SwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h004_09,S.S.SSw.SwS.|SwSS.wSwS.|wSS.Sw.SwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h004_10,S.SS.wwS.wS.|wSS.SwS.wS.|SS.SSw.Sww|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h005_01,S.w.SS.w.Sww.|Sw.wS.w.Sww.|wSS.SwSwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h005_02,wSwS.wSww.|SSS.SwSww.|SS.SS.wS.wS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h005_03,w.S.S.Sw.S.wS.|w.SS.w.wSwS.|wS.SSw.S.w.S|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h005_04,Sw.SS.w.SwS.|SwSw.SwS.|SS.SSw.Sww|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h005_05,wwSS.wS.wS.|wwS.Sw.SwS.|SSS.wwSwS|,gāyatrī
Madhuchandas Vaiśvāmitra,b01_h005_06,wS.wSw.SwS.|SS.SS.wSwS.|SS.SSw.SwS|,gāyatrī
